"Entity / Table",Purpose,"Primary Key","Foreign Keys","Key fields (type · obligation)",Notes
contract_amendments,"Amendments and change orders.","amendment_id (BIGINT)","contract_id → contracts","amendment_no · amendment_date · value_change (DECIMAL 19,0) · scope_change (NVARCHAR MAX) · approval_ref",
work_packages,"Work breakdown under a contract.","work_package_id (BIGINT)","contract_id → contracts, project_id → projects, cost_center_id → cost_centers","wp_code (VARCHAR 30) · name_ar · name_en · budget_value (DECIMAL 19,0, NULL)",
bank_accounts,"Bank accounts, cash boxes and project safes, each bound to a GL account.","bank_account_id (BIGINT)","company_id, account_id → accounts, project_id → projects, custodian_id → counterparties","ba_code (VARCHAR 20, UQ) · name_ar · name_en · ba_type (VARCHAR 15: Bank/Cash/Safe/Transit) · bank_name (NVARCHAR 200, NULL) · account_number (VARCHAR 50, NULL) · responsible_user_id (BIGINT → users) · is_active (BIT)","One GL account may back exactly one bank_account row; VR-06 resolves the account from here."
funding_sources,"Approved funding source values (shareholder, third party, recovery, recycled recovery).","funding_source_id (BIGINT)","company_id, counterparty_id → counterparties","fs_code (VARCHAR 20, UQ) · name_ar · name_en · is_shareholder_funding (BIT)",
funding_categories,"The eleven approved funding categories (nine from the COA master list plus the two ledger-only values pending approval).","funding_category_id (BIGINT)",company_id,"fc_code (VARCHAR 10, UQ) · name_ar · name_en · source_of_value (VARCHAR 40: COA master list / Journal only) · approval_status (VARCHAR 20)",
funding_batches,"One row per source funding reference series entry — AMER-nnn, ABS-nn, ABA-nn, DF-nnn, TAJ-DAR-nn, ACC-JV-….","funding_batch_id (BIGINT)","company_id, funding_source_id, counterparty_id, project_id","batch_ref (VARCHAR 50, UQ) · series (VARCHAR 20) · batch_date (DATE, NULL) · amount (DECIMAL 19,0) · actual_payment_source (NVARCHAR 200) · source_file (NVARCHAR 200) · source_row (VARCHAR 30) · status (VARCHAR 25: Posted / Held / Review Required / Excluded) · notes (NVARCHAR MAX)","This is the object every reconciliation in File 1 is performed against (RE-04)."
journal_headers,"One accounting transaction.","journal_id (BIGINT)","company_id, period_id → accounting_periods, project_id → projects (header default), created_by/submitted_by/reviewed_by/approved_by/posted_by/reversed_by → users, reversal_of_journal_id → journal_headers (self), linked_journal_id → journal_headers (self)","jv_no (VARCHAR 20, UQ per company+year) · pv_no (VARCHAR 20, NULL) · rv_no (VARCHAR 20, NULL) · txn_date (DATE, NULL allowed — see date_status) · posting_date (DATE, NOT NULL) · txn_type_code (VARCHAR 10 → transaction_types) · description_ar (NVARCHAR MAX) · description_en (NVARCHAR MAX) · source_presence (VARCHAR 120) · source_reference (VARCHAR 120) · source_file (NVARCHAR 200) · source_row (VARCHAR 30) · date_status (VARCHAR 40) · doc_status (VARCHAR 15: Complete/Partial/Missing) · recon_status (VARCHAR 60) · status (VARCHAR 15: Draft/Submitted/Reviewed/Approved/Posted/Reversed) · is_migration (BIT) · created_at/submitted_at/reviewed_at/approved_at/posted_at (DATETIME2)","txn_date is deliberately nullable so that the 311 undated historical entries migrate without a fabricated date (VR-15)."
journal_lines,"One debit or one credit within a transaction.","line_id (BIGINT)","journal_id → journal_headers, account_id → accounts, project_id, cost_center_id, resp_center_id, counterparty_id, advance_holder_id → counterparties, cash_account_id → bank_accounts, contract_id, work_package_id, funding_source_id, funding_batch_id, funding_category_id","line_no (INT) · debit (DECIMAL 19,0, default 0) · credit (DECIMAL 19,0, default 0) · chain_step (VARCHAR 80) · capex_opex (VARCHAR 10: CAPEX/OPEX/n-a) · asset_class (VARCHAR 40) · handover_req (VARCHAR 40) · revenue_eligible (BIT, NULL) · recon_status (VARCHAR 60) · source_amount (DECIMAL 19,0, NULL) · amount_difference (DECIMAL 19,0, NULL) · actual_receiver (NVARCHAR 300) · notes (NVARCHAR MAX)","CHECK (debit >= 0 AND credit >= 0 AND NOT (debit > 0 AND credit > 0) AND (debit + credit) > 0) enforces VR-03."
transaction_types,"The 39 approved transaction types and the posting rules that belong to them.","txn_type_id (BIGINT)",company_id,"tt_code (VARCHAR 10, UQ) · name_ar · name_en · requires_board_approval (BIT) · approval_path (VARCHAR 100) · is_active (BIT)",
posting_rules,"Declarative debit/credit account selectors and mandatory dimensions per transaction type.","posting_rule_id (BIGINT)","txn_type_id → transaction_types","pr_code (VARCHAR 10, UQ) · condition_expr (NVARCHAR 500) · debit_selector (NVARCHAR 500) · credit_selector (NVARCHAR 500) · mandatory_dimensions (NVARCHAR 500) · blocking_rules (VARCHAR 200) · effective_from (DATE) · effective_to (DATE, NULL)","Effective dating means a rule change never rewrites history."
advances,"One advance issued to a holder.","advance_id (BIGINT)","company_id, counterparty_id (holder) → counterparties, account_id → accounts, project_id, cost_center_id, resp_center_id, issue_journal_id → journal_headers","advance_ref (VARCHAR 30, UQ) · purpose (NVARCHAR 500) · amount_issued (DECIMAL 19,0) · issue_date (DATE, NULL) · settlement_deadline (DATE, NULL) · amount_settled (DECIMAL 19,0, computed) · amount_refunded (DECIMAL 19,0, computed) · amount_reclassified (DECIMAL 19,0, computed) · amount_outstanding (DECIMAL 19,0, computed) · status (VARCHAR 20: Open/Partially Settled/Settled/Overdue/Under Review)","Computed columns are derived from advance_settlements — never stored independently."
advance_settlements,"One settlement, refund or reclassification against an advance.","settlement_id (BIGINT)","advance_id → advances, journal_id → journal_headers, account_id → accounts","settlement_type (VARCHAR 25: CAPEX/OPEX/Fixed Asset/Refund/Reclassification/Sub-advance) · amount (DECIMAL 19,0) · settlement_date (DATE, NULL) · classification (VARCHAR 40) · evidence_status (VARCHAR 25: Evidenced/Pending Evidence/Not Evidenced) · approved_by → users · notes","classification carries the File 1 audit classifications (A – Valid PRJ-01, B – Valid PRJ-03, C – Personal Receivable, D – Pending Evidence)."
documents,"Evidence attached to a header or a line.","document_id (BIGINT)","journal_id → journal_headers, line_id → journal_lines (NULL), uploaded_by → users","doc_type (VARCHAR 40: Invoice/Receipt/PV/RV/Bank Transfer/Contract/Certificate/Approval/Advance Settlement/Other) · doc_ref (VARCHAR 100) · doc_date (DATE, NULL) · file_path (NVARCHAR 500) · file_hash (CHAR 64) · mime_type (VARCHAR 100) · size_bytes (BIGINT) · uploaded_at (DATETIME2)","file_hash supports duplicate-document detection and tamper evidence."
approvals,"The approval history of any approvable object.","approval_id (BIGINT)","user_id → users","object_type (VARCHAR 40: Journal/Account/MasterData/Parameter/Period/Reconciliation) · object_id (BIGINT) · action (VARCHAR 20: Submit/Review/Approve/Reject/Post/Reverse) · action_at (DATETIME2) · comment (NVARCHAR 1000) · approval_ref (VARCHAR 60)","approval_ref records the board minute reference where a board decision is required."
reconciliations,"Cash, bank, advance, contractor and control reconciliations.","reconciliation_id (BIGINT)","company_id, period_id, bank_account_id (NULL), counterparty_id (NULL), account_id (NULL), prepared_by/reviewed_by/approved_by → users","recon_type (VARCHAR 30: Cash/Bank/Advance/Contractor/Supplier/Chain Control/Government Share) · as_at_date (DATE) · book_balance (DECIMAL 19,0, computed from GL) · actual_balance (DECIMAL 19,0, input) · variance (DECIMAL 19,0, computed) · status (VARCHAR 20: Reconciled/Unreconciled/Under Review) · document_id → documents · notes (NVARCHAR MAX) · reconciled_at (DATETIME2)","book_balance is never writable — VR-57."
duplicate_flags,"Duplicate suspicions raised by the duplicate-detection service or carried in from the source.","duplicate_flag_id (BIGINT)","journal_id → journal_headers, matched_journal_id → journal_headers, raised_by/dispositioned_by → users","flag_type (VARCHAR 40: Exact Amount+Counterparty / Source Reference / Near Date / Source-carried) · match_reason (NVARCHAR 1000) · value_at_risk (DECIMAL 19,0) · disposition (VARCHAR 30: Confirmed Duplicate/Not a Duplicate/Manual Review Required/Held Unposted) · dispositioned_at (DATETIME2)","Seeded at migration with the File 1 flags; the 700,595,000 of potential duplicates is carried here."
exceptions,"The exception register — classification exceptions, missing documents, open differences, pending evidence.","exception_id (BIGINT)","company_id, journal_id (NULL), account_id (NULL), counterparty_id (NULL), raised_by/owner_id/resolved_by → users","exception_no (VARCHAR 20, UQ) · category (VARCHAR 40) · raised_date (DATE) · description_ar · description_en · amount (DECIMAL 19,0, NULL) · status (VARCHAR 20: Open/Under Review/Resolved) · resolution (NVARCHAR MAX) · resolved_date (DATE) · source_reference (VARCHAR 120)","Rows may never be deleted (VR-59)."
report_mappings,"GL account to financial statement line mapping with sign and display order.","mapping_id (BIGINT)","company_id, account_id → accounts","fs_line_id (VARCHAR 20) · statement (VARCHAR 10: SFP/PL/CF/SCE) · line_name_ar · line_name_en · sign (SMALLINT: +1/-1) · display_order (INT) · subtotal_of (VARCHAR 20, NULL) · effective_from (DATE) · effective_to (DATE, NULL)","The single source of every financial statement figure (VR-55). Effective dating preserves comparatives."
parameters,"System parameters with effective dating and full history.","parameter_id (BIGINT)","company_id, changed_by → users","param_code (VARCHAR 40) · param_value (NVARCHAR 200) · data_type (VARCHAR 20) · effective_from (DATE) · effective_to (DATE, NULL) · approval_ref (VARCHAR 60) · changed_at (DATETIME2)","Holds the 20% government share, the FX rate, the contract term and the commercial operation date."
closing_checklist,"The 25-task monthly closing checklist per period.","checklist_id (BIGINT)","period_id → accounting_periods, responsible_id/reviewer_id → users","task_no (TINYINT) · task_ar · task_en · due_date (DATE) · status (VARCHAR 15: Pending/Completed/Exception) · review_date (DATE) · comments (NVARCHAR 1000)",
users,"System users.","user_id (BIGINT)",company_id,"username (VARCHAR 60, UQ) · full_name_ar · full_name_en · email (VARCHAR 120) · password_hash (VARCHAR 255) · mfa_enabled (BIT) · preferred_language (CHAR 2: ar/en) · is_active (BIT) · last_login_at (DATETIME2) · failed_attempts (SMALLINT) · locked_until (DATETIME2)",
roles,"Role definitions.","role_id (BIGINT)",company_id,"role_code (VARCHAR 20, UQ) · name_ar · name_en · description (NVARCHAR 1000)",
user_roles,"User to role assignment.","user_role_id (BIGINT)","user_id → users, role_id → roles","assigned_by → users · assigned_at (DATETIME2) · valid_until (DATE, NULL)","UQ (user_id, role_id)."
role_permissions,"Role to permission grant.","role_permission_id (BIGINT)","role_id → roles","permission_code (VARCHAR 40) · scope (VARCHAR 20: All/Own/None/Conditional) · condition_expr (NVARCHAR 300)",
audit_logs,"Immutable record of every change.","audit_id (BIGINT)","user_id → users","object_type (VARCHAR 40) · object_id (BIGINT) · action (VARCHAR 30) · field_name (VARCHAR 60, NULL) · old_value (NVARCHAR MAX) · new_value (NVARCHAR MAX) · reason (NVARCHAR 1000) · ip_address (VARCHAR 45) · action_at (DATETIME2, default SYSUTCDATETIME())","Append-only; no UPDATE or DELETE grant is issued on this table to any application role."
migration_control,"Migration reconciliation evidence — one row per control measure.","migration_control_id (BIGINT)","company_id, run_by → users","run_ref (VARCHAR 40) · control_name (VARCHAR 120) · source_value (DECIMAL 19,0 or NVARCHAR) · system_value · difference · status (VARCHAR 15: Pass/Fail) · run_at (DATETIME2)","Go-live acceptance requires every row to read Pass."
