ID,"Transaction Type (EN)","النوع (عربي)","Business event","Debit logic","Credit logic","Required dimensions","Required documents","Approval workflow","Reports affected","Control rules"
TT-17,"Retention Withholding","احتجاز ضمان","Retention is withheld from a certified amount pending completion.","Dr 211003 Certified Works Payable","Cr 211004 Retention Payable","Counterparty · Contract · Project","Certificate showing the retention calculation","Senior Accountant → Finance Manager","RPT-16 · RPT-06","VR-01 · VR-33 retention percentage must match the contract master"
TT-18,"Contractor / Supplier Payment","دفع لمقاول أو مورد","A net amount is paid to the contractor or supplier.","Dr 211001 / 211002 / 211003","Cr 111xxx cash or bank","Counterparty · Contract · Cash/Bank account · Project · Cost Center","Payment voucher, certificate, invoice and tax/deduction evidence","Senior Accountant → Finance Manager","RPT-16 · RPT-10 · RPT-17","VR-01 · VR-06 · VR-08 · VR-34 payment may not exceed the outstanding payable"
TT-19,"Supplier Invoice Recognition","إثبات فاتورة مورد","A supplier invoice is recognised before payment.","Dr 115xxx / 118xxx / 510xxx / 610xxx as appropriate","Cr 211001 Trade Suppliers","Project · Cost Center · Counterparty · CAPEX/OPEX","Supplier invoice and goods receipt","Accountant → Senior Accountant","RPT-16 · RPT-06 · RPT-07","VR-01 · VR-08 · VR-13 · VR-35 duplicate invoice number per counterparty is blocked"
TT-20,"Project Interest Acquisition — Advance Payment","دفعة مقدمة لاستحواذ حصة مشروع","A payment is made towards acquiring an interest in a project (currently PRJ-02 / Al-Rashidiya).","Dr 116001 Advance Payments for Acquisition of PRJ-02 Interest","Cr 112030 advance account, 111xxx cash or 221xxx shareholder loan as applicable","Project = PRJ-02 · Cost Center · Counterparty · Funding Batch","Share purchase agreement or payment instruction and board approval","Finance Manager (board approval required)","RPT-06 · RPT-04 · RPT-12","VR-01 · VR-36 acquisition payments may not be expensed"
TT-21,"Project Interest Acquisition — Completion","إتمام استحواذ حصة مشروع","The acquisition completes and the advances are reclassified to the investment account.","Dr 116002 Investment – Acquisition of PRJ-02 Interest (Completed), or 116011 where the interest is that of a named individual","Cr 116001 Advance Payments","Project = PRJ-02 · Counterparty","Completed transfer documentation and board resolution","Finance Manager (board approval required)","RPT-06 · RPT-04","VR-01 · VR-37 completion requires a board resolution reference"
TT-22,"Concession CIP Recognition","إثبات أصول الامتياز قيد الإنشاء","Eligible project development cost is capitalised into Concession Assets under Construction.","Dr 115001–115099 as classified","Cr advance, payable, cash or shareholder loan","Project · Cost Center · Counterparty · Asset Class · Handover Requirement · CAPEX/OPEX = CAPEX","Invoice, certificate or contract evidencing the cost","Senior Accountant → Finance Manager","RPT-18 · RPT-06 · RPT-04","VR-01 · VR-38 115030 is a non-posting parent and may not be posted to"
TT-23,"Transfer from CIP to Concession & Operating Right","تحويل من قيد الإنشاء إلى حق الامتياز","At commercial operation, eligible concession costs transfer from CIP to the concession right.","Dr 117001 / 117002 Concession & Operating Right","Cr the relevant 115xxx CIP accounts","Project · Asset Class","Commercial operation certificate and board approval of the transfer schedule","Finance Manager (board approval required)","RPT-18 · RPT-06","VR-01 · VR-39 blocked until the commercial operation date parameter is set — the system must never assume one"
TT-24,"Amortization of Concession Right","إطفاء حق الامتياز","The concession right is amortized over the remaining contract term from the commercial operation date.","Dr 610017 Amortization Expense – Concession Rights","Cr 117011 / 117012 Accumulated Amortization",Project,"Amortization schedule approved by the Finance Manager","Finance Manager","RPT-07 · RPT-06","VR-01 · VR-39 · VR-40 amortization may not be posted before the commercial operation date"
TT-25,"Fixed Asset Acquisition","اقتناء أصل ثابت","A movable asset retained by SHH is acquired.","Dr 118001–118009","Cr cash, payable, advance or shareholder loan","Project · Cost Center · Counterparty · Asset Class = Fixed Asset (Retained)","Purchase invoice and asset receipt","Accountant → Senior Accountant → Finance Manager","RPT-18 · RPT-06","VR-01 · VR-08"
TT-26,"Depreciation of Retained Assets","إهلاك الأصول المحتفظ بها","Periodic depreciation of retained fixed assets.","Dr 610016 Depreciation Expense – Retained Assets","Cr 118011 Accumulated Depreciation","Cost Center · Project","Approved depreciation schedule","Finance Manager","RPT-07 · RPT-06","VR-01 · VR-41 depreciation runs only in an open period"
TT-27,"Revenue Recognition","إثبات الإيراد","Operating revenue of the yard is earned.","Dr 111xxx cash / bank or 112001 Trade Receivables","Cr 410001–410009","Project · Cost Center · Revenue type · Counterparty where applicable","Revenue report from the operating system, receipt or invoice","Accountant → Senior Accountant → Finance Manager","RPT-07 · RPT-19 · RPT-27","VR-01 · VR-22 · VR-42 revenue must carry an eligibility flag for the government share"
TT-28,"Government Revenue Share Recognition — 20%","إثبات حصة الإيراد الحكومية 20٪","The State Company share is computed on eligible revenue for the period and recognised.","Dr 510001 Government Revenue Share – 20%","Cr 213001 State Company for Land Transport – 20% Share Payable","Project · Period · Revenue population reference","Computation sheet showing eligible revenue, rate and period","Senior Accountant → Finance Manager","RPT-07 · RPT-19 · RPT-06","VR-01 · VR-43 the rate comes from the parameter table, never from code · VR-44 the base excludes funding, loans, asset disposals and refunds"
TT-29,"Government Share Payment","دفع حصة الحكومة","The accrued government share is paid to the State Company.","Dr 213001","Cr 111xxx cash or bank","Cash/Bank account · Counterparty = State Company for Land Transport","Payment voucher and government receipt","Finance Manager","RPT-19 · RPT-10","VR-01 · VR-06 · VR-34"
TT-30,"Expense Accrual","استحقاق مصروف","A cost relating to the period is recognised before invoice or payment.","Dr 510xxx / 610xxx","Cr 211010 Accrued Expenses or 211011 Salaries Payable","Project · Cost Center · Counterparty where known · Period","Accrual computation approved by the Senior Accountant","Senior Accountant → Finance Manager","RPT-07 · RPT-06","VR-01 · VR-45 accruals must be reversed or settled in the following period"
TT-31,"Prepayment Recognition and Release","إثبات وإطفاء المصروف المدفوع مقدماً","A cost paid in advance is carried and released over the benefit period.","On payment: Dr 113001–113009 / on release: Dr 510xxx or 610xxx","On payment: Cr cash or payable / on release: Cr 113xxx","Project · Cost Center · Counterparty · Period range","Contract or policy showing the benefit period","Accountant → Senior Accountant","RPT-06 · RPT-07","VR-01 · VR-46 release may not exceed the carried balance"
TT-32,"Cash Shortfall to Suspense","عجز نقدي إلى الحساب الوسيط","The amount physically received differs from the amount funded and the cause is not yet determined.","Dr 112090 Suspense & Clearing Account","Cr the advance or cash account","Project · Cost Center · Responsibility Center · Advance Holder","Note of the discrepancy; evidence pending","Senior Accountant → Finance Manager","RPT-24 · RPT-13","VR-01 · VR-47 a suspense posting automatically creates an open exception"
TT-33,"Suspense Clearance","تصفية الحساب الوسيط","The cause of a suspense item is established and the item is moved to its final account.","Dr the final account","Cr 112090","All dimensions of the final account","Evidence establishing the correct treatment","Senior Accountant → Finance Manager","RPT-24 · RPT-04","VR-01 · VR-48 clearance closes the linked exception and records the resolution"
TT-34,"Reclassification (Account Correction)","إعادة تبويب","A posted entry carries the wrong account and the board approves the correction.","Dr the correct account","Cr the account originally debited","Same dimensions as the original entry, plus a link to the original JV","Board or Finance Manager approval naming the JV, the old account and the new account","Finance Manager (board approval where material)","RPT-26 · RPT-04","VR-01 · VR-49 a reclassification must never credit an advance account a second time · VR-50 amount, date, description and source reference may not change"
TT-35,"Journal Reversal","عكس قيد","A posted entry is reversed in full under approval.","Mirror of the original credit side","Mirror of the original debit side","Same dimensions as the original, plus reversal reason and link","Written reason and approval","Finance Manager","RPT-26 · RPT-04","VR-01 · VR-51 a posted entry may not be edited or deleted — only reversed · VR-52 reversal must post to an open period"
TT-36,"Capital Contribution and Registration","مساهمة رأسمالية وتسجيلها","A shareholder contributes capital, initially pending registration, later registered.","On contribution: Dr cash / on registration: Dr 310010","On contribution: Cr 310010 / on registration: Cr 310001–310004","Shareholder · Cash account","Capital contribution evidence and the registration certificate","Finance Manager (board approval required)","RPT-06 · RPT-09 · RPT-11","VR-01 · VR-08"
TT-37,"Shareholder Loan Repayment or Conversion","سداد أو تحويل قرض مساهم","A shareholder loan is repaid in cash or converted to equity.","Dr 221001–221004","Cr 111xxx on repayment, or 310010 on conversion","Shareholder · Cash account where repaid","Board resolution; payment evidence where repaid","Finance Manager (board approval required)","RPT-11 · RPT-06 · RPT-09","VR-01 · VR-20 spending project funds NEVER reduces a shareholder loan — only repayment, conversion or an approved documented settlement does"
TT-38,"Period-End Result Transfer","ترحيل نتيجة الفترة","The current result is transferred to retained earnings at year end.","Dr 310040 Current-Year Result (or Cr where a loss)","Cr 310030 Retained Earnings (or Dr where a loss)","Entity · Fiscal Year","Approved annual financial statements","Finance Manager (board approval required)","RPT-06 · RPT-09","VR-01 · VR-53 permitted only after the final close of the last period of the year"
TT-39,"Opening Balance / Migration Entry","قيد افتتاحي / ترحيل","Historical balances or historical journal entries are loaded at go-live.","Per the migrated entry","Per the migrated entry","All dimensions carried from the source, with source file and source row recorded","The approved source workbook","Finance Manager + external sign-off","RPT-04 · RPT-29 Migration Reconciliation","VR-01 · VR-54 migration entries carry an immutable source reference and may not be created after go-live"
