"Test ID",Module,Scenario,Preconditions,Input,"Expected accounting entry","Expected system behaviour","Expected report impact","Expected control result","Pass / Fail",Comments
UAT-029,Concession,"Amortization may not precede the operation date","The commercial operation date is set to a future date.","An amortization run with an earlier effective date.","No entry is created.",Blocked.,"No report changes.","VR-40 blocks.",,
UAT-030,Revenue,"Recognise operating revenue","Revenue accounts exist and the yard is operating.","IQD 100,000,000 of truck entry fees, flagged eligible.","Dr 111002 100,000,000 / Cr 410001 100,000,000.","Entry posts as TT-27.","P&L gross revenue +100,000,000; RPT-19 eligible revenue +100,000,000.","VR-22, VR-42 pass.",,
UAT-031,"Government Share","Compute and recognise the 20% share","Eligible revenue of 100,000,000 exists and the rate parameter is 0.20.","Run the government share for the period.","Dr 510001 20,000,000 / Cr 213001 20,000,000.","The run produces exactly one entry per period.","P&L government share 20,000,000; RPT-19 due = recognised; SFP government liabilities +20,000,000.","VR-43, VR-44 pass.",,
UAT-032,"Government Share","The share is not computed on funding","Shareholder funding of 500,000,000 was received in the same period.","Run the government share.","The share remains 20,000,000.","The funding is excluded from the base.","RPT-19 base excludes the funding.","VR-44 — the critical exclusion test.",,
UAT-033,"Government Share","The rate is read from the parameter table","The rate is changed to 0.25 effective from a future date.","Run the share for a period before and after that date.","Two runs at two different rates.","Each run uses the rate effective for its period.","RPT-19 shows the rate applied.","VR-43 — no hardcoded rate anywhere.",,
UAT-034,Cash,"Cash Position book balance is derived, not entered","Postings exist against 111002.","Open the Cash Position screen.","No journal entry.","The book balance field is read-only and agrees to the account ledger.","RPT-10 book balance equals the RPT-05 closing balance of 111002.","VR-57 — the field cannot be edited.",,
UAT-035,Cash,"Bank reconciliation with a variance","Book balance is 500,000,000.","Actual balance per statement is 495,000,000 with the statement attached.","No journal entry.","Variance of 5,000,000; status remains Unreconciled; an exception is raised.","RPT-10 shows the variance; RPT-24 shows the exception.","VR-58 pass.",,
UAT-036,Cash,"Transfer between two cash accounts","Accounts 111002 and 111010 exist.","IQD 50,000,000 moved from 111002 to 111010.","Dr 111010 50,000,000 / Cr 111002 50,000,000.","Entry posts as TT-06.","Cash Position shows a payment on one and a receipt on the other; total cash is unchanged.","VR-23, VR-24 pass.",,
UAT-037,Suspense,"Cash shortfall goes to suspense and opens an exception","A funded amount of 100,000,000 with 96,196,500 received.","Post the 3,803,500 shortfall.","Dr 112090 3,803,500 / Cr 112035 3,803,500.","Entry posts and an exception opens automatically.","RPT-24 shows the suspense item; the dashboard suspense KPI is non-zero.","VR-47 fires automatically.",,
UAT-038,Suspense,"Clearing suspense requires a resolution","A suspense item is open.","Clear it to 610019 with evidence.","Dr 610019 / Cr 112090.","Entry posts; the exception closes with the resolution recorded.","RPT-24 shows the exception as Resolved with its resolution text.","VR-48 pass.",,
UAT-039,Duplicates,"Duplicate detection on amount, counterparty and period","A posted entry of 17,000,000 to Amer Essam exists in December 2024.","A second entry with the same amount, counterparty and month.","The entry is held.","A duplicate flag is raised; posting requires a disposition.","RPT-22 shows the flag and the value at risk.","VR-30 fires.",,
UAT-040,Duplicates,"Duplicate source reference is blocked","Source reference DF-12 is already used.","A second entry carrying DF-12.","The entry is held.","A duplicate flag of type Source Reference is raised.","RPT-22 shows the flag.","VR-30 fires.",,
UAT-041,Documents,"Missing documents stay visible","An entry is posted with document status Missing.","Run RPT-24 and attempt to remove the exception.","No journal entry.","The exception cannot be deleted; it can only be resolved by attaching the document.","RPT-24 and the dashboard both show the missing-document count.","VR-13, VR-59 pass.",,
UAT-042,Dates,"An undated historical entry keeps its status","A migrated entry carries date_status NO DATE IN SOURCE.","Open it and attempt to set a date.","No change unless evidence is attached.","The system refuses a date without a supporting document and records the change in the audit log when one is given.","RPT-24 shows it among undated entries; the count remains 311 until evidence arrives.","VR-15 — the anti-fabrication control.",,
UAT-043,Reclassification,"Approved reclassification changes only the account","A posted entry debits 115099.","Reclassify to 610019 with a board reference.","Dr 610019 / Cr 115099 for the same amount.","The amount, date, description and source reference of the original are unchanged.","RPT-26 shows old and new account; the trial balance moves between the two accounts only.","VR-49, VR-50 pass.",,
UAT-044,Reporting,"Trial balance proves in both directions","The full migrated population is loaded.","Run RPT-04 with no filters.","No journal entry.","Total debit movement = total credit movement = 83,989,216,460; net debit balances = net credit balances = 38,150,397,980.","All three control lines read BALANCED.","VR-56 — no plug is generated.",,
UAT-045,Reporting,"Balance sheet balances from the mapping table","Report mappings are loaded.","Run RPT-06.","No journal entry.","Assets − (Liabilities + Equity) = 0.","Every line traces to its mapped accounts.","VR-55 — no figure is stored or typed.",,
UAT-046,Reporting,"Drill-down from statement to document","A posted entry with an attachment exists.","From RPT-06, drill to the trial balance, the account ledger, the journal entry and the document.","No journal entry.","Each step opens the next with the filters carried through.","The document opens from the journal entry.","Assignment §18.",,
UAT-047,Reporting,"Filters apply consistently across reports","Data exists for all three projects.","Apply project = PRJ-03 on RPT-04, RPT-06, RPT-07 and RPT-30.","No journal entry.","All four reports return the same population.","PRJ-03 totals agree across the four reports.","Filter engine requirement.",,
UAT-048,Closing,"Monthly closing checklist gates the final close","Period 2024-01 has incomplete checklist tasks.","Attempt Final Close.","No journal entry.","Blocked, listing the incomplete tasks.","RPT-28 shows the completion percentage.","Closing control.",,
UAT-049,Security,"A read-only user cannot post","A Management Read Only user is logged in.","Attempt to create or post an entry.","No entry is created.","The functions are not available and the API rejects the call.","No report changes.","Role-based access control.",,
UAT-050,Audit,"Every change is logged with old and new values","A COA account name is changed under approval.","Perform the change.","No journal entry.","An audit row records user, timestamp, field, old value, new value and reason.","RPT-32 shows the change.","VR-60, Assignment §24.",,
UAT-051,Migration,"Migrated data reconciles to the source workbook","Migration has been executed.","Run RPT-29.","No journal entry.","Every one of the 30 migration controls reads Pass.","Counts, totals, per-account balances, project totals, funding totals, advance balances and duplicate counts all agree.","Go-live acceptance condition — the system is not accepted until every control passes.",,
UAT-052,Migration,"The open difference survives migration","Migration has been executed.","Run RPT-20 and inspect account 112035.","No journal entry.","Account 112035 shows a net credit of 99,796,000 and the chain control reports it as an open difference.","RPT-21 lists it with its named causes.","The difference must NOT have been closed, netted or plugged by the migration.",,
