"Report ID","Report (EN)","التقرير (عربي)",Module,Content,Filters,"Source entities",Export,Phase
RPT-10,"Cash Position","الموقف النقدي","Cash Management","Per cash/bank/safe account: opening, receipts, payments, closing book balance, actual balance, reconciled balance, variance, reconciliation status, last reconciliation date, responsible accountant, supporting document, drill-down.","Date range, account, project, reconciliation status","bank_accounts, journal_lines, reconciliations","Excel, PDF, Print","Phase 1"
RPT-11,"Shareholder Funding Statement","كشف تمويل المساهمين","Shareholder Funding","Per shareholder: opening, funding received in cash, direct payments on behalf, repayments, conversions, closing, agreed to the trial balance. Includes the actual-payment-source audit view.","Date range, shareholder, project, funding batch, actual payment source","journal_lines, shareholders, funding_batches","Excel, PDF","Phase 1"
RPT-12,"Funding Utilisation by Use","استخدام التمويل حسب الوجه","Shareholder Funding","Funding traced to its final economic use: CAPEX by account, acquisitions, fixed assets, operating and administrative costs, personal receivables, sub-advances, recoveries — the File 1 Sections A–G analysis.","Date range, shareholder, custodian, project, funding category","journal_lines, funding_batches","Excel, PDF","Phase 1"
RPT-13,"Advances Outstanding","السلف القائمة",Advances,"Per advance account and holder: opening, issued, settled, refunded, reclassified, outstanding, status.","Date range, advance holder, responsibility centre, project, status","advances, advance_settlements, journal_lines","Excel, PDF","Phase 1"
RPT-14,"Advance Aging","أعمار السلف",Advances,"Outstanding advances bucketed by days since issue against the settlement deadline (0–30, 31–60, 61–90, 91–180, 180+, overdue).","As at date, advance holder, project","advances, advance_settlements","Excel, PDF","Phase 1"
RPT-15,"Advance Settlement Audit","تدقيق تسويات السلف",Advances,"Every settlement with its classification, evidence status and reviewer — the File 1 expense-audit working paper as a live report.","Advance holder, classification, evidence status, date range","advance_settlements, documents, exceptions","Excel, PDF","Phase 1"
RPT-16,"Contractor & Supplier Subledger","الأستاذ المساعد للمقاولين والموردين",Contractors,"Per counterparty: contract value, amendments, change orders, certified work, invoices, advances, advance recoveries, retention, deductions, taxes, penalties, payments, accrued, outstanding payable, remaining commitment.","Counterparty, contract, project, date range","counterparties, contracts, journal_lines","Excel, PDF","Phase 1"
RPT-17,"Contractor Reconciliation to GL","مطابقة المقاولين مع الأستاذ العام",Contractors,"Subledger totals agreed to control accounts 211001, 211002, 211003, 211004, 112020, 112021 with the difference shown.","Date, counterparty","journal_lines, counterparties","Excel, PDF","Phase 1"
RPT-18,"Concession CIP Register","سجل أصول الامتياز قيد الإنشاء","Concession & CIP","Per CIP account and per project: opening, additions, transfers out, closing, handover classification, asset class.","Date range, project, cost centre, CIP account, handover classification","journal_lines, accounts","Excel, PDF","Phase 1"
RPT-19,"Government Share Reconciliation","مطابقة حصة الحكومة","Revenue & Government Share","Eligible revenue by account, rate applied, share due, share recognised in 510001, payments against 213001, closing payable, and the due-versus-recognised check.","Date range, period, project, revenue account","journal_lines, parameters","Excel, PDF","Phase 1"
RPT-20,"Funding Chain Control","رقابة سلسلة التمويل",Controls,"Level 1 (221001 → 111002), Level 2 (111002 → advances), Level 3 (advances → final accounts) with the difference at each node and the journal entries that cause it.","Date range, custodian, source population, project","journal_lines, funding_batches","Excel, PDF","Phase 1"
RPT-21,"Open Differences Register","سجل الفروقات المفتوحة",Controls,"Every unreconciled control difference with its cause, value, owner and status. Differences are shown at their true value and are never forced to zero.","Status, owner, date range","reconciliations, exceptions","Excel, PDF","Phase 1"
RPT-22,"Duplicate Register","سجل الازدواجية",Controls,"Every entry carrying a duplicate flag, the matched entry, the match reason, the value at risk and the disposition.","Flag type, status, counterparty, date range","journal_headers, duplicate_flags","Excel, PDF","Phase 1"
RPT-23,"Unposted & Review-Required Register","سجل القيود غير المرحّلة والمعلقة",Controls,"Draft, submitted, reviewed and review-required transactions with age and owner.","Status, owner, age",journal_headers,"Excel, PDF","Phase 1"
RPT-24,"Exceptions & Missing Documents","الاستثناءات والمستندات الناقصة",Controls,"Live integrity counters plus the exception log: classification exceptions, missing and partial documents, suspense items, undated entries, unresolved differences.","Category, status, owner, project, date range","exceptions, documents, journal_headers","Excel, PDF","Phase 1"
RPT-25,"Contract Register","سجل العقود",Contracts,"Government concession contract and commercial contracts with term, obligations, guarantees, handover and status of pending fields.","Counterparty, status",contracts,"Excel, PDF","Phase 2"
RPT-26,"Change & Reclassification Log","سجل التغييرات وإعادة التبويب",Audit,"Every approved change with old value, new value, approver, reason and effect on balances — the File 1 reclassification log as a system report.","Object type, date range, user, approval reference",audit_logs,"Excel, PDF","Phase 1"
RPT-27,"Executive Dashboard","لوحة المؤشرات التنفيذية","Management Reporting","KPI panel with drill-down on every figure: funding, cash, project cost to date, CIP, advances, payables, government share, revenue, result, missing documents, unreconciled cash, journal exceptions, trial balance status.","Date, project, entity",all,"PDF, Print","Phase 1"
RPT-28,"Monthly Closing Status","حالة الإقفال الشهري","Period Management","25-task checklist per period with responsible, due date, status, reviewer, review date, comments and completion percentage.","Period, status, responsible","closing_checklist, accounting_periods","Excel, PDF","Phase 1"
RPT-29,"Migration Reconciliation","مطابقة ترحيل البيانات",Migration,"Record counts, total debit, total credit, per-account balances, per-project totals, funding totals, advance balances and duplicate counts, before and after migration, with the difference.","Source file, account, project","migration_control, journal_lines","Excel, PDF","Phase 1"
RPT-30,"Project Cost to Date","كلفة المشروع حتى تاريخه","Management Reporting","Per project and cost centre: CIP additions, operating costs, administrative allocation, fixed assets, total cost to date.","Date range, project, cost centre, CAPEX/OPEX",journal_lines,"Excel, PDF","Phase 1"
RPT-31,"Comparative P&L","قائمة الأرباح والخسائر المقارنة","Management Reporting","Current month, prior month, current YTD, prior-year YTD, variance and percentage change, by project and consolidated.","Period, year, project, comparative basis","report_mappings, journal_lines","Excel, PDF","Phase 2"
RPT-32,"Audit Trail Report","تقرير أثر التدقيق",Audit,"Every create, modify, submit, review, approve, post, reverse and lock action with user, timestamp, object, old value and new value.","User, object, action, date range",audit_logs,"Excel, PDF","Phase 1"
