Workbook,Worksheet,"Accounting / system function",Authority,"Becomes module","Becomes report","Control function?","Excel-only / obsolete?","Conflict identified & resolution"
"File 1","Exceptions & Review","~197 classification exceptions where the source description does not conclusively determine the account, plus the final documented exceptions (anonymised payees, suspense shortfall, AMER-799, Amer Essam rule, 100-dunum breakdown).","AUTHORITATIVE (exception register)","M09 Controls & Reconciliation","RPT-24 Exceptions Register",Yes,"No — migrates row-for-row into the exceptions table",None.
"File 1","سجل تحديث التبويب المعتمد (Reclassification Log)","Permanent log of every reclassification actually applied to the ledger under board approval: 230 approved rows, 227 applied, 9 deliberately not applied (830,700,000 untouched), 0 entries added or deleted, 0 Dr/Cr difference.","AUTHORITATIVE (audit trail)","M10 Audit Trail","RPT-26 Reclassification / Change Log",Yes,"No — becomes audit_logs rows","None. This is the model for the system change log."
"File 2",Cover,"Workbook identity, map and colour legend.",ILLUSTRATIVE,—,—,No,"Yes — Excel navigation aid, obsolete in a database system",None.
"File 2",Dashboard,"Executive KPI concept: funding & position, project cost to date, integrity panel.","ILLUSTRATIVE (numbers are samples)","M08 Management Reporting","RPT-27 Executive Dashboard","Yes — integrity panel concept",No,"All figures are sample data (7.72bn funding, 6.8bn land) and conflict with File 1 actuals. File 1 prevails; File 2 supplies the KPI LAYOUT only."
"File 2","Accounting Policies","16 numbered accounting policies covering entity independence, projects, the government contract, land, concession amortization, handover, shareholders, funding attribution, funding entries, direct payment, funding≠revenue, responsible persons, contractors, revenue & 20% share, journal & trial balance, and data integrity.","AUTHORITATIVE FOR POLICY (data illustrative)","M00 Policy & Parameters","Appendix A of Document A","Yes — policies 11, 12, 16 are control policies",No,"Policy 2 (""two projects only"") conflicts with File 1 which carries PRJ-03. File 1 prevails: three projects plus CORP. Policy 4 land figure (6,800,000,000) is illustrative; the ledger carries 3,050,000,000 in 115001."
"File 2",Setup,"Parameter register (entity, currency, FX, government share, term, COD, accounting start) and the opening-balance table, all zero at inception.","AUTHORITATIVE FOR PARAMETERS","M00 Policy & Parameters",—,"Yes — opening balance check",No,"The opening-balance account list is the File 2 COA subset; the system must use the File 1 COA. Opening balances remain zero — the position is rebuilt from the journal."
"File 2","Chart of Accounts","126-row bilingual account register.","ILLUSTRATIVE / SUPERSEDED","M01 Master Data & COA",—,No,"Yes — superseded by File 1","SUPERSEDED IN FULL by the File 1 Chart of Accounts."
"File 2",Dimensions,"Projects, cost centres and responsibility centres with type classification.","PARTLY AUTHORITATIVE — responsibility centres only","M02 Dimensions","Filters on every report",No,No,"Projects: File 1 adds PRJ-03 and cost centre CC-100D — File 1 prevails. Responsibility centres RC-01/RC-02/RC-CORP exist only in File 2 and are ADOPTED, because the File 1 ledger carries no RC column."
"File 2","Master Data","Shareholders, responsible persons, contractors/suppliers, bank/cash/safe accounts.","AUTHORITATIVE FOR STRUCTURE","M01 Master Data & COA","RPT-02 Master Data Register",No,No,"Contractor list must be extended with the counterparties actually present in the File 1 ledger (53 distinct funding recipients)."
"File 2","Contract Register","Government concession contract register — parties, term, 20% share, obligations, handover, COD; most fields ""to be defined"".","AUTHORITATIVE FOR STRUCTURE","M00 Policy & Parameters · M13 Contracts","RPT-25 Contract Register",No,No,"Unfilled fields must migrate as NULL with status ""Pending — source document required"". They must NOT be invented."
"File 2","Journal Ledger","36-column normalised journal design: one line per leg, grouped by JV No, with PV/RV numbers, posting date, period, year, entity, all analytical dimensions, funding source, funding batch, actual payment source, bank/cash account, vendor, contract, work package, CAPEX/OPEX, asset class, handover requirement, doc ref, source file/row, bilingual description, approval, doc status, recon status and a line check.","ILLUSTRATIVE DATA / AUTHORITATIVE STRUCTURE","M03 Journal & Posting Engine","RPT-05 Account Ledger","Yes — line check + control panel",No,"This is the TARGET journal structure. Its 34 sample lines are example data and must never be migrated (File 2 itself flags ""Example rows still present must read 0"")."
"File 2","Trial Balance","Filterable TB with Opening Dr/Cr, Period Dr/Cr, Closing Dr/Cr and year/period/project filters.","AUTHORITATIVE FOR STRUCTURE","M07 Reporting Engine","RPT-04 Trial Balance","Yes — balance proof",No,"Adopted structure is File 2 (opening/period/closing) merged with File 1 presentation (group subtotals + control block)."
"File 2",Financials,"Statement of Financial Position, Profit & Loss and a funds-flow summary, auto-summarised from the TB.","ILLUSTRATIVE — STARTING POINT ONLY","M07 Reporting Engine","RPT-06 SFP · RPT-07 P&L · RPT-08 Cash Flow · RPT-09 Changes in Equity","Yes — Assets − (Liab + Equity) = 0 check",No,"Explicitly to be REPLACED by a mapping-driven reporting engine. Its ""Cash Flow Summary"" is a funds-flow management view, NOT a statutory cash flow statement — both are to be built, separately named."
"File 2","Cash Position","Per-account receipts, payments, book balance, reconciled actual and variance.","AUTHORITATIVE FOR STRUCTURE","M11 Cash & Bank Management","RPT-10 Cash Position","Yes — variance flag",No,"Must be extended with reconciliation status, last reconciliation date, responsible accountant, supporting document and drill-down. Must never become an independent ledger."
"File 2","Shareholders Funding","Loan reconciliation (opening + funding − repayments = closing, agreed to TB) and the Al-Shammari funding statement by actual payment source.","AUTHORITATIVE FOR STRUCTURE","M05 Shareholder Funding","RPT-11 Shareholder Funding Statement","Yes — closing vs TB check",No,"File 1 Funding Summary is the richer version and supplies the utilisation analysis (Sections A–G) that File 2 lacks."
"File 2",Advances,"Per-advance-account opening, issued, settled/refunded, outstanding and status.","AUTHORITATIVE FOR STRUCTURE","M04 Advances & Custodians","RPT-13 Advance Position",Yes,No,"Must be extended with issue date, settlement deadline, purpose, document status and aging buckets."
"File 2","Contractors Ledger","Vendor subledger: contract value, advances, certified & invoiced, retention, payments, outstanding payable, remaining commitment, retention %, with a control against GL 211001+211002+211003.","AUTHORITATIVE FOR STRUCTURE","M06 Contractors & Suppliers","RPT-16 Contractor Subledger","Yes — subledger vs GL control",No,"Must be extended with amendments, change orders, deductions, taxes, penalties and accrued amounts as first-class fields rather than journal-column filters."
"File 2","Concession CIP","CIP register per account (opening + additions − transfers out = closing) with handover classification, plus the concession rights and accumulated amortization block and the transfer entry at commercial operation.","AUTHORITATIVE FOR STRUCTURE","M12 Concession & CIP","RPT-18 CIP Register",Yes,No,"Sample additions (6.8bn land, 7.46bn total) conflict with the File 1 actuals (115001 = 3,050,000,000; CIP total 8,402,056,980). File 1 prevails."
"File 2","Gov Share 20pct","Per-revenue-account eligibility flag, eligible amount, 20% due, recognised in P&L (510001), paid, outstanding payable (213001) and a due-vs-recognised check.","AUTHORITATIVE FOR STRUCTURE","M14 Revenue & Government Share","RPT-19 Government Share Reconciliation",Yes,No,"No revenue exists in the authoritative ledger yet (all 410xxx accounts nil). The module is built for the operating phase and must be parameter-driven, not hardcoded."
"File 2","Monthly Closing","25-task monthly closing checklist with period, responsible, due date, status, reviewer, review date and comments.","AUTHORITATIVE FOR STRUCTURE","M15 Period Management & Closing","RPT-28 Closing Status",Yes,No,"Adopted essentially as designed; extended with period lock integration."
"File 2",Exceptions,"Panel A live integrity counters (8 counters) and Panel B a manual exception log.","AUTHORITATIVE FOR STRUCTURE","M09 Controls & Reconciliation","RPT-24 Exceptions Register",Yes,No,"File 1 Exceptions & Review supplies the real content (≈197 rows). The two must merge: File 2 gives the log schema, File 1 gives the data."
"File 2",_lists,"Hidden validation lists backing the dropdowns.",ILLUSTRATIVE,"M02 Dimensions",—,No,"Yes — replaced by database reference tables","Master lists in File 1 (COA columns I–V) prevail where the two differ."
