"Requirement ID",Requirement,Module,"Business rule(s)","Screen / Process","Database entity(ies)",Report(s),"UAT case(s)",Phase
REQ-024,"The system shall report advance aging against the settlement deadline and raise an exception when an advance becomes overdue.","M04, M09",RE-13,"Advance aging","advances, exceptions","RPT-14, RPT-24",UAT-021,"Phase 1"
REQ-025,"Unsupported custody spend shall be reclassifiable to a personal receivable of the named individual under approval.",M04,VR-28,"Advance reclassification","advance_settlements, journal_lines",RPT-15,UAT-020,"Phase 1"
REQ-026,"The contractor and supplier subledger shall report contract value, amendments, change orders, certified work, invoices, advances, advance recoveries, retention, deductions, taxes, penalties, payments, accrued amounts, outstanding payable and remaining commitment.",M06,"VR-29 … VR-34","Contractor subledger","counterparties, contracts, contract_amendments, journal_lines",RPT-16,"UAT-022, UAT-024","Phase 1"
REQ-027,"The contractor subledger shall reconcile to the related general ledger control accounts and the difference shall be reported.",M06,VR-55,"Contractor reconciliation","journal_lines, reconciliations",RPT-17,UAT-022,"Phase 1"
REQ-028,"Cumulative advance recovery shall not exceed the advance issued, and payment shall not exceed the outstanding payable.",M06,"VR-32, VR-34","Certification · Payment","journal_lines, contracts",RPT-16,"UAT-023, UAT-025","Phase 1"
REQ-029,"The system shall maintain a Concession Assets under Construction register per account and per project with opening, additions, transfers out and closing, and an asset handover classification.",M12,VR-38,"CIP register","journal_lines, accounts",RPT-18,UAT-026,"Phase 1"
REQ-030,"Transfer from CIP to the concession and operating right, and any amortization, shall be blocked until the commercial operation date parameter is set by an authorised user. The system shall never infer that date.",M12,"VR-39, VR-40","Concession transfer · Amortization run","parameters, projects, journal_headers",RPT-18,"UAT-027, UAT-028, UAT-029","Phase 1"
REQ-031,"Revenue shall be recognised only in accounts 410001–410009 and every revenue line shall carry a government-share eligibility flag.",M14,"VR-22, VR-42","Revenue entry",journal_lines,"RPT-07, RPT-19",UAT-030,"Phase 1"
REQ-032,"The government revenue share shall be computed on eligible revenue only, using an effective-dated parameter, and shall never be hardcoded.",M14,"VR-43, VR-44","Government share run","parameters, journal_lines",RPT-19,"UAT-031, UAT-032, UAT-033","Phase 1"
REQ-033,"The government share shall be recognised as a liability and presented as a profit and loss line, with a reconciliation of share due, share recognised, payments and closing payable.",M14,"PR-25, PR-26","Government share reconciliation","journal_lines, reconciliations","RPT-19, RPT-07",UAT-031,"Phase 1"
REQ-034,"The trial balance shall be fully system-generated with account code, bilingual names, opening debit and credit, period debit and credit, closing debit and credit, and shall prove total debit equals total credit on every run.",M07,VR-56,"Trial balance","journal_lines, accounts, accounting_periods",RPT-04,UAT-044,"Phase 1"
REQ-035,"No manual balancing adjustment shall ever be used to force the trial balance to balance.",M07,VR-56,"Trial balance · Posting API",journal_lines,"RPT-04, RPT-21","UAT-044, UAT-052","Phase 1"
REQ-036,"Every financial statement figure shall derive from the general ledger through a configurable mapping of account to statement line, sign and display order. No report figure shall be stored, typed or overridden.",M07,VR-55,"Report mapping maintenance · Statement generation","report_mappings, journal_lines","RPT-06, RPT-07, RPT-08a, RPT-09",UAT-045,"Phase 1"
REQ-037,"The system shall produce a Statement of Financial Position with the approved groupings and a balance check of assets less liabilities and equity equal to zero.",M07,VR-55,"Statement generation",report_mappings,RPT-06,UAT-045,"Phase 1"
REQ-038,"The system shall produce a Profit and Loss statement showing gross project revenue, government revenue share, net retained revenue, direct operating costs, gross operating result, administrative expenses and net result.",M07,VR-55,"Statement generation",report_mappings,RPT-07,UAT-045,"Phase 1"
REQ-039,"The system shall produce a statutory cash flow statement and, separately named, a management funding and cash movement summary. The two shall not be presented as the same report.","M07, M08",RE-07,"Statement generation","report_mappings, funding_batches","RPT-08a, RPT-08b",UAT-045,"Phase 1 (RPT-08b) / Phase 2 (RPT-08a)"
REQ-040,"The system shall produce a Statement of Changes in Equity.",M07,RE-08,"Statement generation",report_mappings,RPT-09,UAT-045,"Phase 2"
REQ-041,"Financial reporting shall support current month, prior month, current year to date, prior-year year to date, project-specific, corporate, consolidated, variance and percentage-change presentations.",M08,RE-07,"Comparative reporting","report_mappings, accounting_periods",RPT-31,UAT-047,"Phase 2"
REQ-042,"The Cash Position shall derive every book balance from posted transactions and shall never operate as an independent ledger.",M11,VR-57,"Cash position","bank_accounts, journal_lines",RPT-10,UAT-034,"Phase 1"
REQ-043,"The Cash Position shall record opening balance, receipts, payments, closing book balance, actual balance, reconciled balance, variance, reconciliation status, last reconciliation date, responsible accountant and supporting documentation, with drill-down to the underlying entries.",M11,VR-58,"Cash reconciliation","reconciliations, documents",RPT-10,"UAT-034, UAT-035","Phase 1"
REQ-044,"Every report figure shall support drill-down from financial statement to trial balance to account ledger to journal entry to supporting document.","M07, M08","Assignment §18","All reports","report_mappings, journal_lines, documents","RPT-06, RPT-04, RPT-05, RPT-03",UAT-046,"Phase 1"
REQ-045,"The system shall provide a consistent filter engine across reports covering dates, year, period, entity, project, cost centre, responsibility centre, account, account group, funding dimensions, counterparties, contract, work package, CAPEX/OPEX and status fields.","M07, M08","F-01 … F-30","Report filters",all,"All reports",UAT-047,"Phase 1"
REQ-046,"The system shall support formal accounting periods with open, soft close, final close, reopen with authorisation and lock, and shall reject postings into a closed or locked period.",M15,VR-09,"Period management",accounting_periods,RPT-28,"UAT-007, UAT-008","Phase 1"
REQ-047,"The system shall operate a twenty-five task monthly closing checklist and shall block the final close of a period whose tasks are incomplete.",M15,"Closing control","Monthly closing","closing_checklist, accounting_periods",RPT-28,UAT-048,"Phase 1"
REQ-048,"Journal entries shall support attached evidence with a controlled document status of Complete, Partial or Missing.",M16,"VR-13, VR-14","Document attachment","documents, journal_headers",RPT-24,UAT-041,"Phase 1"
REQ-049,"Missing and partial documents shall remain visible in the exceptions and compliance reporting and shall not be removable.","M16, M09","VR-13, VR-59","Exceptions register","exceptions, documents",RPT-24,UAT-041,"Phase 1"
REQ-050,"The system shall detect duplicate transactions and duplicate document references and require a disposition before posting.",M09,"VR-30, VR-35","Duplicate detection","duplicate_flags, journal_headers",RPT-22,"UAT-039, UAT-040","Phase 1"
REQ-051,"The system shall maintain an exceptions register in which every unresolved item remains visible at its true value; no exception shall be deleted, netted or forced into an account.",M09,VR-59,"Exceptions register",exceptions,"RPT-24, RPT-21","UAT-041, UAT-052","Phase 1"
REQ-052,"Any posting to the suspense account shall automatically open an exception, and clearing it shall require a resolution reference.",M09,"VR-47, VR-48","Suspense management","exceptions, journal_lines",RPT-24,"UAT-037, UAT-038","Phase 1"
REQ-053,"Historical entries whose source carries no date shall be recorded with an explicit date status and a null transaction date; the system shall never substitute a date.","M03, M18",VR-15,"Journal entry · Migration",journal_headers,"RPT-24, RPT-29",UAT-042,"Phase 1"
REQ-054,"The system shall record a complete audit trail of creation, modification, submission, review, approval, posting, reversal, period locks, master data changes, mapping changes and reconciliation balances, with user, timestamp, reason, previous value and new value.",M10,"VR-60, Assignment §24","All maintenance and workflow screens","audit_logs, approvals","RPT-32, RPT-26",UAT-050,"Phase 1"
REQ-055,"The system shall implement role-based access control across the eight defined roles and the seventeen defined permissions, with no single user holding uncontrolled end-to-end authority.",M17,"VR-16, VR-17","User and role administration","users, roles, user_roles, role_permissions",RPT-32,UAT-049,"Phase 1"
REQ-056,"The system shall migrate the historical accounting data from the approved source workbook without altering dates, amounts, descriptions, classifications or exceptions.",M18,"VR-54, Assignment §37",Migration,all,RPT-29,"UAT-051, UAT-052","Phase 1"
REQ-057,"Migrated data shall reconcile to the source workbook on record count, total debit, total credit, per-account balances, project totals, funding totals, advance balances, duplicate counts and exceptions before the system is accepted.",M18,"MC-01 … MC-30","Migration reconciliation",migration_control,RPT-29,UAT-051,"Phase 1"
REQ-058,"The user interface shall support Arabic with correct right-to-left rendering, bilingual labels and IQD formatting without decimals.",M19,"VR-19, RE-14","All screens","companies, accounts","All reports",UAT-001,"Phase 1"
REQ-059,"Financial tables shall support search, filter, sort, drill-down, export to Excel, export to PDF, print, date filters and saved views.",M19,"Assignment §29","All list and report screens",all,"All reports","UAT-046, UAT-047","Phase 1"
REQ-060,"The executive dashboard shall present live accounting data with a management purpose and drill-down behind every indicator.",M08,"Assignment §30",Dashboard,all,RPT-27,UAT-046,"Phase 1"
REQ-061,"The system shall hold policy parameters — government share percentage, contract term, commercial operation date, FX rate, currency and decimal policy — in an effective-dated parameter table with approval and full history.",M00,"VR-43, RE-12","Parameter maintenance","parameters, audit_logs",RPT-32,UAT-033,"Phase 1"
REQ-062,"The system shall meet the non-functional requirements for authentication, authorisation, audit logging, data integrity, backup and restore, performance, attachment storage, encryption, session security, disaster recovery, export, scalability, Arabic support and browser compatibility.",M20,"Document B §Non-functional",Platform,all,—,UAT-049,"Phase 1"
